Key,Description,Standard,Spanish,Catalan,English
SAY.Flowchart_Esc2_ESP.12.,,... ... ... ... ... ...\n... ... ... ... ... ...,... ... ... ... ... ...\n... ... ... ... ... ...,... ... ... ... ... ...\n... ... ... ... ... ...,... ... ... ... ... ...\n... ... ... ... ... ...
SAY.Flowchart_Esc2_ESP.11.,,... ... ... ... ... ...,... ... ... ... ... ...,... ... ... ... ... ...,... ... ... ... ... ...
SAY.Flowchart_Esc2_ESP.10.,,... ... ...,... ... ...,... ... ...,... ... ...
MENU.Flowchart_Esc2_ESP.4,,Ir hacia el BOSQUE,Ir hacia el BOSQUE,Anar al BOSC ,Go to FOREST 
MENU.Flowchart_Esc2_ESP.6,,Ir hacia la TORRE,Ir hacia la TORRE,Anar a la TORRE ,Go to TOWER 
MENU.Flowchart_Esc2_ESP.25,,Volver al cruce,Volver al cruce,Tornar a l'encreuament ,Back to CROSSGROUND 
MENU.Flowchart_Esc2_ESP.24,,Entrar a la cueva,Entrar a la cueva,Entrar a la cova ,Enter to CAVE 
MENU.Flowchart_Esc2_ESP.22,,Volver a la cueva,Volver a la cueva,Tornar a la COVA ,Back to CAVE 
SAY.Flowchart_Esc2_ESP.52.,,Estás en el CRUCE,Estás en el CRUCE,Estàs a l'ENCREUAMENT,You're in CROSSGROUND
MENU.Flowchart_Esc2_ESP.66,,Option Text,Option Text,Option Text,Option Text
SAY.Flowchart_Esc2_ESP.75.,,¡Ha encontrado provisiones de alimentos!,¡Ha encontrado provisiones de alimentos!,Ha trobat provisions d'aliments!,You found a supply of FOOD!
SAY.Flowchart_Esc2_ESP.73.,,¡Ha encontrado una HACHA!,¡Ha encontrado una HACHA!,Ha trobat una DESTRAL!,You found a AXE!
SAY.Flowchart.12.,,... ... ... ... ... ...\n... ... ... ... ... ...,... ... ... ... ... ...\n... ... ... ... ... ...,... ... ... ... ... ...\n... ... ... ... ... ...,... ... ... ... ... ...\n... ... ... ... ... ...
SAY.Flowchart.11.,,... ... ... ... ... ...,... ... ... ... ... ...,... ... ... ... ... ...,... ... ... ... ... ...
SAY.Flowchart.10.,,... ... ...,... ... ...,... ... ...,... ... ...
MENU.Flowchart.4,,Esperar,Esperar,Esperar,Wait
MENU.Flowchart.6,,Levantarse,Levantarse,Llevar-se ,Wake up 
SAY.Flowchart.1.,,En las profundidades,En las profundidades,A les profunditats ,In profundness... 
SAY.Flowchart.2.,,Pareces no oír nada,Pareces no oír nada,Res sents... ,Nothing hears upon you... 
MENU.Flowchart.15,,Salir de la cueva,Salir de la cueva,Sortir de la cova ,Exit from CAVE 
MENU.Flowchart.14,,Esperar,Esperar,Esperar,Esperar
MENU.Flowchart.9,,Levantarse,Levantarse,Llevar-se ,Wake up 
MENU.Flowchart.8,,Seguir esperando,Seguir esperando,Seguir esperant ,Keep waiting 
SAY.Flowchart.13.,,...,...,...,...
