Key,Description,Standard,Spanish,Catalan,English
SAY._CommandCopyBuffer.19.,,Estás en el CARTEL,,,
CHARACTER.NILA,,NILA,NILA,NILA,NILA
MENU.Flowchart_Esc3_ESP.350,,(4A),,,
MENU.Flowchart_Esc3_ESP.25,,Ir hacia el centro del BOSQUE,Ir hacia el centro del BOSQUE,Anar al centre del BOSC,Go to FOREST center
MENU.Flowchart_Esc3_ESP.34,,Huir,Huir,Fugir,Escape
MENU.Flowchart_Esc3_ESP.33,,Atacar,Atacar,Atacar,Fight
MENU.Flowchart_Esc3_ESP.4,,Entrar en el bosque,Entrar en el bosque,Entrar al bosc,Enter to FOREST
MENU.Flowchart_Esc3_ESP.6,,Volver al cruce,Volver al cruce,Tornar a l'encreuament,Back to CROSSGROUND
MENU.Flowchart_Esc3_ESP.24,,Acercarse al ACANTILADO,Acercarse al ACANTILADO,Acostar-se al PENYA-SEGAT,Approach to CLIFF
MENU.Flowchart_Esc3_ESP.8,,Seguir dando vueltas en el BOSQUE,Seguir dando vueltas en el BOSQUE,Seguir donant voltes al BOSC,Hold go around at FOREST
SAY.Flowchart_Esc3_ESP.23.,,Se adentró dentro del bosque,Se adentró dentro del bosque,S'ha endinsat en el bosc,You're under the FOREST
MENU.Flowchart_Esc3_ESP.32,,"¡Y a ti qué te importa, mocosa!","¡Y a ti qué te importa, mocosa!","I a tu què t'importa, mocosa!",Why do you care you brat!
MENU.Flowchart_Esc3_ESP.31,,Vengo en nombre del rey,Vengo en nombre del rey,Vinc en nom del rei,I come under the King's command
MENU.Flowchart_Esc3_ESP.29,,Estoy perdido,Estoy perdido,Estic perdut,I got lost
SAY.Flowchart_Esc3_ESP.28.NILA,NILA,¿Qué haces en mi bosque?,¿Qué haces en mi bosque?,Què fas en el meu bosc?,What are you doing in my forest?
MENU.Flowchart_Esc3_ESP.175,,Ir a la HOGUERA,Ir a la HOGUERA,Anar a la FOGUERA,Go to BONFIRE
SAY.Flowchart_Esc3_ESP.38.NILA,,"Dime, ¿de dónde eres?","Dime, ¿de dónde eres?","Digue'm, d'on ets?","So tell me, where are you from?"
SAY.Flowchart_Esc3_ESP.37.NILA,,...,...,...,...
SAY.Flowchart_Esc3_ESP.36.NILA,,Acompáñanos\n,Acompáñanos,Acompanya'ns,Join us
SAY.Flowchart_Esc3_ESP.35.NILA,,"Normal, la gente suele perderse por aquí. ¿O acaso has visto a alguien más?","Normal, la gente suele perderse por aquí. ¿O acaso has visto a alguien más?","Normal, la gent se sol perdre en aquest lloc. O has vist algú més per aquí?",People usually get lost around these parts. Or have you seen anyone else?
MENU.Flowchart_Esc3_ESP.46,,"Bueno, recuerdo a ese lobo. Creo que era mi mascota.","Bueno, recuerdo a ese lobo. Creo que era mi mascota.","Bé, recordo a aquest llop. Crec que era la meva mascota.","Well, I do remember that wolf. I think it was my pet."
MENU.Flowchart_Esc3_ESP.45,,"Lo único que sé es mi nombre, lo tenía aquí apuntado","Lo único que sé es mi nombre, lo tenía aquí apuntado","L’únic que sé és el meu nom, que el tinc aquí escrit",I know what my name is. I have it written here.
SAY.Flowchart_Esc3_ESP.44.NILA,,Eso es muy triste...,Eso es muy triste...,Això és molt trist...,That's so sad...
SAY.Flowchart_Esc3_ESP.43.NILA,,¿Y no recuerdas nada? ¿Y ni siquiera tu nombre?,¿Y no recuerdas nada? ¿Y ni siquiera tu nombre?,I no recordes res? Ni tan sols el teu nom?,And you don't remember anything? Not even your name?
MENU.Flowchart_Esc3_ESP.41,,No tengo porqué contestarte,No tengo porqué contestarte,No tinc per què contestar-te,I don't have to answer to you.
MENU.Flowchart_Esc3_ESP.40,,"Del noroeste, del castillo de esta zona","Del noroeste, del castillo de esta zona","Del nord-oest, del castell d'aquella zona",From the castle northwest from here.
MENU.Flowchart_Esc3_ESP.39,,"No lo sé, he despertado en una cueva","No lo sé, he despertado en una cueva","No ho sé, he despertat en una cova","I don't know, I woke up on some cave."
MENU.Flowchart_Esc3_ESP.80,,"Te lo agradezco, pero deseo partir esta noche.","Te lo agradezco, pero deseo partir esta noche.","T'ho agraeixo, però desitjo anar-me'n aquesta nit","I thank you, but I wish to go tonight."
MENU.Flowchart_Esc3_ESP.78,,Buenas noches,Buenas noches,Bona nit,Good night
SAY.Flowchart_Esc3_ESP.75.NILA,,Mañana por la mañana te\nacompañaré a la salida.,Mañana por la mañana te acompañaré a la salida.,Demà pel matí t'acompanyaré a la sortida.,Tomorrow I'll show you the way out.
SAY.Flowchart_Esc3_ESP.74.NILA,,Tú sabras lo que quieres creer.,Tú sabras lo que quieres creer.,Tu sabràs el que vols creure.,You can think whatever you want.
SAY.Flowchart_Esc3_ESP.72.,,NILA entregó a ti una FRUTA MÁGICA,NILA entregó a ti FRUTAS MÁGICAS,La NILA t'entregà FRUITES MÀGIQUES,You obtain from NILA MAGICS FRUITS
MENU.Flowchart_Esc3_ESP.71,,"Te lo agradezco, pero deseo partir esta noche.","Te lo agradezco, pero deseo partir esta noche.","T'ho agreixo, però desitjo marxar aquesta nit.","I thank you, but I wish to go tonight."
MENU.Flowchart_Esc3_ESP.70,,"Gracias, pero espera un momento. Quiero contarte algo.","Gracias, pero espera un momento. Quiero contarte algo.","Gràcies, però espera un moment. Vull dir-te una cosa.","Thanks, but wait a second, I want to tell you something else."
MENU.Flowchart_Esc3_ESP.69,,"Muchas gracias, y que descanses","Muchas gracias, y que descanses","Moltes gràcies, i que descansis","Thank you so much, and may you rest well too."
SAY.Flowchart_Esc3_ESP.68.NILA,,"Y toma, un regalo, lo vas a necesitar.","Y toma, un regalo, lo vas a necesitar.","Té un regal, el necessitaràs","Here, take this, you will need it."
SAY.Flowchart_Esc3_ESP.67.NILA,,Puedes dormir aquí y mañana te\nacompañaré para que puedas salir.,Puedes dormir aquí y mañana te acompañaré para que puedas salir.,Pots dormir aquí i demà t'acompanyaré per a que puguis sortir.,"You can sleep here, tomorrow I'll show you the way out of this forest."
SAY.Flowchart_Esc3_ESP.66.NILA,,Deberías descansar.,Deberías descansar.,Hauries de descansar.,You should rest.
MENU.Flowchart_Esc3_ESP.64,,"Te lo agradezco, pero deseo partir esta noche.","Te lo agradezco, pero deseo partir esta noche.","T'ho agraeixo, però desitjo anar-me'n aquesta nit.","I thank you, but I wish to go tonight."
