Key,Description,Standard,Spanish,Catalan,English
SAY._CommandCopyBuffer.19.,,Estás en el CARTEL,,,
SAY.Flowchart.1.,,En las profundidades,En las profundidades,A les profunditats,In profundness...
MENU.Flowchart.4,,Esperar,Esperar,Esperar,Wait
MENU.Flowchart.6,,Levantarse,Levantarse,Aixecar-se,Wake up
MENU.Flowchart.8,,Seguir esperando,Seguir esperando,Seguir esperant,Keep waiting
SAY.Flowchart.2.,,Pareces no oír nada,Pareces no oír nada,Res sents...,Nothing hears upon you...
MENU.Flowchart.15,,Salir de la cueva,Salir de la cueva,Sortir de la cova,Exit from CAVE
MENU.Flowchart.14,,Esperar,Esperar,Esperar,Wait
MENU.Flowchart.9,,Levantarse,Levantarse,Aixecar-se,Wake up
SAY.Flowchart.12.,,... ... ... ... ... ...\n... ... ... ... ... ...,... ... ... ... ... ...\n... ... ... ... ... ...,... ... ... ... ... ...\n... ... ... ... ... ...,... ... ... ... ... ...\n... ... ... ... ... ...
SAY.Flowchart.11.,,... ... ... ... ... ...,... ... ... ... ... ...,... ... ... ... ... ...,... ... ... ... ... ...
SAY.Flowchart.10.,,... ... ...,... ... ...,... ... ...,... ... ...
SAY.Flowchart.13.,,...,...,...,...
MENU.Flowchart_Esc1_ESP.4,,Wait,Esperar,Esperar,Wait
MENU.Flowchart_Esc1_ESP.6,,Wake up,Levantarse,Aixecar-se,Wake up
SAY.Flowchart_Esc1_ESP.50.,,Estás en la CUEVA,Estás en la CUEVA,Estàs a la COVA,You're on CAVE
MENU.Flowchart_Esc1_ESP.9,,Wake up,Levantarse,Aixecar-se,Wake up
MENU.Flowchart_Esc1_ESP.8,,Keep waiting,Seguir esperando,Seguir esperant,Keep waiting
SAY.Flowchart_Esc1_ESP.12.,,... ... ... ... ... ...\n... ... ... ... ... ...,... ... ... ... ... ...\n... ... ... ... ... ...,... ... ... ... ... ...\n... ... ... ... ... ...,... ... ... ... ... ...\n... ... ... ... ... ...
SAY.Flowchart_Esc1_ESP.11.,,... ... ... ... ... ...,... ... ... ... ... ...,... ... ... ... ... ...,... ... ... ... ... ...
SAY.Flowchart_Esc1_ESP.10.,,... ... ...,... ... ...,... ... ...,... ... ...
MENU.Flowchart_Esc1_ESP.15,,Exit from CAVE,Salir de la cueva,Sortir de la cova,Exit from CAVE
MENU.Flowchart_Esc1_ESP.14,,Wait,Esperar,Esperar,Wait
SAY.Flowchart_Esc1_ESP.13.,,...,...,...,...
